Index;ThreadID;Time;Severity;Location;Detail;Exception
11 User: undefined;1;2019-01-05 12:45:00.0675;DEBUG;;The foreign key properties haven't been configured by convention because the best match {'Id' : int} are incompatible with the current principal key {'Id' : string}. This message can be disregarded if explicit configuration has been specified.;
12 User: undefined;1;2019-01-05 12:45:00.0675;DEBUG;;The foreign key properties haven't been configured by convention because the best match {'Id' : int} are incompatible with the current principal key {'Id' : string}. This message can be disregarded if explicit configuration has been specified.;
13 User: undefined;1;2019-01-05 12:45:00.0675;DEBUG;;The index {'UserId'} was not created as the properties are already covered by the index {'UserId', 'RoleId'}.;
14 User: undefined;1;2019-01-05 12:45:00.0843;DEBUG;;No relationship from 'SchoolStaff' to 'SchoolStaffPhone' has been configured by convention because there are multiple properties on one entity type {'SchoolStaffPhones', 'SsPhone'} that could be matched with the properties on the other entity type {'SchoolStaff', 'SchoolStaffPhoneOne'}. This message can be disregarded if explicit configuration has been specified.;
15 User: undefined;1;2019-01-05 12:45:00.0843;DEBUG;;No relationship from 'SchoolStaff' to 'SchoolStaffPhone' has been configured by convention because there are multiple properties on one entity type {'SchoolStaffPhones', 'SsPhone'} that could be matched with the properties on the other entity type {'SchoolStaff', 'SchoolStaffPhoneOne'}. This message can be disregarded if explicit configuration has been specified.;
16 User: undefined;1;2019-01-05 12:45:00.0999;DEBUG;;No relationship from 'SchoolStaff' to 'SchoolStaffPhone' has been configured by convention because there are multiple properties on one entity type {'SchoolStaffPhones', 'SsPhone'} that could be matched with the properties on the other entity type {'SchoolStaff', 'SchoolStaffPhoneOne'}. This message can be disregarded if explicit configuration has been specified.;
17 User: undefined;1;2019-01-05 12:45:00.1457;DEBUG;;The index {'SchoolStaffId'} was not created as the properties are already covered by the index {'SchoolStaffId', 'SubjectId'}.;
18 User: undefined;1;2019-01-05 12:45:00.1457;DEBUG;;The index {'SchoolStaffId'} was not created as the properties are already covered by the index {'SchoolStaffId', 'ProfessionId'}.;
19 User: undefined;1;2019-01-05 12:45:00.3430;INFO;;Entity Framework Core 2.1.4-rtm-31024 initialized 'ApplicationDbContext' using provider 'Microsoft.EntityFrameworkCore.SqlServer' with options: None;
20 User: undefined;1;2019-01-05 12:45:00.4354;DEBUG;;Migrating using database 'ListOfScoolStaff' on server 'DESKTOP-HUHSDIT\SQLEXPRESS'.;
21 User: undefined;1;2019-01-05 12:45:00.4453;DEBUG;;Opening connection to database 'ListOfScoolStaff' on server 'DESKTOP-HUHSDIT\SQLEXPRESS'.;
22 User: undefined;1;2019-01-05 12:45:10.6682;DEBUG;;An error occurred using the connection to database 'ListOfScoolStaff' on server 'DESKTOP-HUHSDIT\SQLEXPRESS'.;"System.Data.SqlClient.SqlException (0x80131904): Cannot open database ""ListOfScoolStaff"" requested by the login. The login failed.
Login failed for user 'MicrosoftAccount\alekhnosergey86@gmail.com'.
   at System.Data.SqlClient.SqlInternalConnectionTds..ctor(DbConnectionPoolIdentity identity, SqlConnectionString connectionOptions, SqlCredential credential, Object providerInfo, String newPassword, SecureString newSecurePassword, Boolean redirectedUserInstance, SqlConnectionString userConnectionOptions, SessionData reconnectSessionData, Boolean applyTransientFaultHandling)
   at System.Data.SqlClient.SqlConnectionFactory.CreateConnection(DbConnectionOptions options, DbConnectionPoolKey poolKey, Object poolGroupProviderInfo, DbConnectionPool pool, DbConnection owningConnection, DbConnectionOptions userOptions)
   at System.Data.ProviderBase.DbConnectionFactory.CreatePooledConnection(DbConnectionPool pool, DbConnection owningObject, DbConnectionOptions options, DbConnectionPoolKey poolKey, DbConnectionOptions userOptions)
   at System.Data.ProviderBase.DbConnectionPool.CreateObject(DbConnection owningObject, DbConnectionOptions userOptions, DbConnectionInternal oldConnection)
   at System.Data.ProviderBase.DbConnectionPool.UserCreateRequest(DbConnection owningObject, DbConnectionOptions userOptions, DbConnectionInternal oldConnection)
   at System.Data.ProviderBase.DbConnectionPool.TryGetConnection(DbConnection owningObject, UInt32 waitForMultipleObjectsTimeout, Boolean allowCreate, Boolean onlyOneCheckConnection, DbConnectionOptions userOptions, DbConnectionInternal& connection)
   at System.Data.ProviderBase.DbConnectionPool.TryGetConnection(DbConnection owningObject, TaskCompletionSource`1 retry, DbConnectionOptions userOptions, DbConnectionInternal& connection)
   at System.Data.ProviderBase.DbConnectionFactory.TryGetConnection(DbConnection owningConnection, TaskCompletionSource`1 retry, DbConnectionOptions userOptions, DbConnectionInternal oldConnection, DbConnectionInternal& connection)
   at System.Data.ProviderBase.DbConnectionInternal.TryOpenConnectionInternal(DbConnection outerConnection, DbConnectionFactory connectionFactory, TaskCompletionSource`1 retry, DbConnectionOptions userOptions)
   at System.Data.ProviderBase.DbConnectionClosed.TryOpenConnection(DbConnection outerConnection, DbConnectionFactory connectionFactory, TaskCompletionSource`1 retry, DbConnectionOptions userOptions)
   at System.Data.SqlClient.SqlConnection.TryOpen(TaskCompletionSource`1 retry)
   at System.Data.SqlClient.SqlConnection.Open()
   at Microsoft.EntityFrameworkCore.Storage.RelationalConnection.OpenDbConnection(Boolean errorsExpected)
ClientConnectionId:932b290d-7ad2-4462-8bc3-1fb0764153c3
Error Number:4060,State:1,Class:11"
23 User: undefined;1;2019-01-05 12:45:10.6779;DEBUG;;Opening connection to database 'ListOfScoolStaff' on server 'DESKTOP-HUHSDIT\SQLEXPRESS'.;
24 User: undefined;1;2019-01-05 12:45:10.6779;DEBUG;;An error occurred using the connection to database 'ListOfScoolStaff' on server 'DESKTOP-HUHSDIT\SQLEXPRESS'.;"System.Data.SqlClient.SqlException (0x80131904): Cannot open database ""ListOfScoolStaff"" requested by the login. The login failed.
Login failed for user 'MicrosoftAccount\alekhnosergey86@gmail.com'.
   at System.Data.ProviderBase.DbConnectionPool.TryGetConnection(DbConnection owningObject, UInt32 waitForMultipleObjectsTimeout, Boolean allowCreate, Boolean onlyOneCheckConnection, DbConnectionOptions userOptions, DbConnectionInternal& connection)
   at System.Data.ProviderBase.DbConnectionPool.TryGetConnection(DbConnection owningObject, TaskCompletionSource`1 retry, DbConnectionOptions userOptions, DbConnectionInternal& connection)
   at System.Data.ProviderBase.DbConnectionFactory.TryGetConnection(DbConnection owningConnection, TaskCompletionSource`1 retry, DbConnectionOptions userOptions, DbConnectionInternal oldConnection, DbConnectionInternal& connection)
   at System.Data.ProviderBase.DbConnectionInternal.TryOpenConnectionInternal(DbConnection outerConnection, DbConnectionFactory connectionFactory, TaskCompletionSource`1 retry, DbConnectionOptions userOptions)
   at System.Data.ProviderBase.DbConnectionClosed.TryOpenConnection(DbConnection outerConnection, DbConnectionFactory connectionFactory, TaskCompletionSource`1 retry, DbConnectionOptions userOptions)
   at System.Data.SqlClient.SqlConnection.TryOpen(TaskCompletionSource`1 retry)
   at System.Data.SqlClient.SqlConnection.Open()
   at Microsoft.EntityFrameworkCore.Storage.RelationalConnection.OpenDbConnection(Boolean errorsExpected)
ClientConnectionId:932b290d-7ad2-4462-8bc3-1fb0764153c3
Error Number:4060,State:1,Class:11"
25 User: undefined;1;2019-01-05 12:45:10.7784;DEBUG;;Opening connection to database 'master' on server 'DESKTOP-HUHSDIT\SQLEXPRESS'.;
26 User: undefined;1;2019-01-05 12:45:10.7849;DEBUG;;Opened connection to database 'master' on server 'DESKTOP-HUHSDIT\SQLEXPRESS'.;
27 User: undefined;1;2019-01-05 12:45:10.7849;DEBUG;;"Executing DbCommand [Parameters=[], CommandType='Text', CommandTimeout='60']
CREATE DATABASE [ListOfScoolStaff];";
28 User: undefined;1;2019-01-05 12:45:11.0916;INFO;;"Executed DbCommand (299ms) [Parameters=[], CommandType='Text', CommandTimeout='60']
CREATE DATABASE [ListOfScoolStaff];";
29 User: undefined;1;2019-01-05 12:45:11.0916;DEBUG;;"Executing DbCommand [Parameters=[], CommandType='Text', CommandTimeout='60']
IF SERVERPROPERTY('EngineEdition') <> 5
BEGIN
    ALTER DATABASE [ListOfScoolStaff] SET READ_COMMITTED_SNAPSHOT ON;
END;";
30 User: undefined;1;2019-01-05 12:45:11.1696;INFO;;"Executed DbCommand (76ms) [Parameters=[], CommandType='Text', CommandTimeout='60']
IF SERVERPROPERTY('EngineEdition') <> 5
BEGIN
    ALTER DATABASE [ListOfScoolStaff] SET READ_COMMITTED_SNAPSHOT ON;
END;";
31 User: undefined;1;2019-01-05 12:45:11.1696;DEBUG;;Closing connection to database 'master' on server 'DESKTOP-HUHSDIT\SQLEXPRESS'.;
32 User: undefined;1;2019-01-05 12:45:11.1696;DEBUG;;Closed connection to database 'master' on server 'DESKTOP-HUHSDIT\SQLEXPRESS'.;
33 User: undefined;1;2019-01-05 12:45:11.1759;DEBUG;;Opening connection to database 'ListOfScoolStaff' on server 'DESKTOP-HUHSDIT\SQLEXPRESS'.;
34 User: undefined;1;2019-01-05 12:45:11.1759;DEBUG;;Opened connection to database 'ListOfScoolStaff' on server 'DESKTOP-HUHSDIT\SQLEXPRESS'.;
35 User: undefined;1;2019-01-05 12:45:11.1759;DEBUG;;Closing connection to database 'ListOfScoolStaff' on server 'DESKTOP-HUHSDIT\SQLEXPRESS'.;
36 User: undefined;1;2019-01-05 12:45:11.1759;DEBUG;;Closed connection to database 'ListOfScoolStaff' on server 'DESKTOP-HUHSDIT\SQLEXPRESS'.;
37 User: undefined;1;2019-01-05 12:45:11.2321;DEBUG;;DetectChanges starting for 'ApplicationDbContext'.;
38 User: undefined;1;2019-01-05 12:45:11.2321;DEBUG;;DetectChanges completed for 'ApplicationDbContext'.;
39 User: undefined;1;2019-01-05 12:45:11.2412;DEBUG;;Opening connection to database 'ListOfScoolStaff' on server 'DESKTOP-HUHSDIT\SQLEXPRESS'.;
40 User: undefined;1;2019-01-05 12:45:11.2412;DEBUG;;Opened connection to database 'ListOfScoolStaff' on server 'DESKTOP-HUHSDIT\SQLEXPRESS'.;
41 User: undefined;1;2019-01-05 12:45:11.2412;DEBUG;;"Executing DbCommand [Parameters=[], CommandType='Text', CommandTimeout='30']
CREATE TABLE [__EFMigrationsHistory] (
    [MigrationId] nvarchar(150) NOT NULL,
    [ProductVersion] nvarchar(32) NOT NULL,
    CONSTRAINT [PK___EFMigrationsHistory] PRIMARY KEY ([MigrationId])
);";
42 User: undefined;1;2019-01-05 12:45:11.2557;INFO;;"Executed DbCommand (12ms) [Parameters=[], CommandType='Text', CommandTimeout='30']
CREATE TABLE [__EFMigrationsHistory] (
    [MigrationId] nvarchar(150) NOT NULL,
    [ProductVersion] nvarchar(32) NOT NULL,
    CONSTRAINT [PK___EFMigrationsHistory] PRIMARY KEY ([MigrationId])
);";
43 User: undefined;1;2019-01-05 12:45:11.2557;DEBUG;;Closing connection to database 'ListOfScoolStaff' on server 'DESKTOP-HUHSDIT\SQLEXPRESS'.;
44 User: undefined;1;2019-01-05 12:45:11.2557;DEBUG;;Closed connection to database 'ListOfScoolStaff' on server 'DESKTOP-HUHSDIT\SQLEXPRESS'.;
45 User: undefined;1;2019-01-05 12:45:11.2557;DEBUG;;Opening connection to database 'ListOfScoolStaff' on server 'DESKTOP-HUHSDIT\SQLEXPRESS'.;
46 User: undefined;1;2019-01-05 12:45:11.2557;DEBUG;;Opened connection to database 'ListOfScoolStaff' on server 'DESKTOP-HUHSDIT\SQLEXPRESS'.;
47 User: undefined;1;2019-01-05 12:45:11.2557;DEBUG;;Closing connection to database 'ListOfScoolStaff' on server 'DESKTOP-HUHSDIT\SQLEXPRESS'.;
48 User: undefined;1;2019-01-05 12:45:11.2557;DEBUG;;Closed connection to database 'ListOfScoolStaff' on server 'DESKTOP-HUHSDIT\SQLEXPRESS'.;
49 User: undefined;1;2019-01-05 12:45:11.2557;DEBUG;;Opening connection to database 'ListOfScoolStaff' on server 'DESKTOP-HUHSDIT\SQLEXPRESS'.;
50 User: undefined;1;2019-01-05 12:45:11.2557;DEBUG;;Opened connection to database 'ListOfScoolStaff' on server 'DESKTOP-HUHSDIT\SQLEXPRESS'.;
51 User: undefined;1;2019-01-05 12:45:11.2557;DEBUG;;"Executing DbCommand [Parameters=[], CommandType='Text', CommandTimeout='30']
SELECT OBJECT_ID(N'[__EFMigrationsHistory]');";
52 User: undefined;1;2019-01-05 12:45:11.2718;INFO;;"Executed DbCommand (5ms) [Parameters=[], CommandType='Text', CommandTimeout='30']
SELECT OBJECT_ID(N'[__EFMigrationsHistory]');";
53 User: undefined;1;2019-01-05 12:45:11.2718;DEBUG;;Closing connection to database 'ListOfScoolStaff' on server 'DESKTOP-HUHSDIT\SQLEXPRESS'.;
54 User: undefined;1;2019-01-05 12:45:11.2718;DEBUG;;Closed connection to database 'ListOfScoolStaff' on server 'DESKTOP-HUHSDIT\SQLEXPRESS'.;
55 User: undefined;1;2019-01-05 12:45:11.2718;DEBUG;;Opening connection to database 'ListOfScoolStaff' on server 'DESKTOP-HUHSDIT\SQLEXPRESS'.;
56 User: undefined;1;2019-01-05 12:45:11.2718;DEBUG;;Opened connection to database 'ListOfScoolStaff' on server 'DESKTOP-HUHSDIT\SQLEXPRESS'.;
57 User: undefined;1;2019-01-05 12:45:11.2718;DEBUG;;"Executing DbCommand [Parameters=[], CommandType='Text', CommandTimeout='30']
SELECT [MigrationId], [ProductVersion]
FROM [__EFMigrationsHistory]
ORDER BY [MigrationId];";
58 User: undefined;1;2019-01-05 12:45:11.2718;INFO;;"Executed DbCommand (2ms) [Parameters=[], CommandType='Text', CommandTimeout='30']
SELECT [MigrationId], [ProductVersion]
FROM [__EFMigrationsHistory]
ORDER BY [MigrationId];";
59 User: undefined;1;2019-01-05 12:45:11.2718;DEBUG;;Closing connection to database 'ListOfScoolStaff' on server 'DESKTOP-HUHSDIT\SQLEXPRESS'.;
60 User: undefined;1;2019-01-05 12:45:11.2718;DEBUG;;Closed connection to database 'ListOfScoolStaff' on server 'DESKTOP-HUHSDIT\SQLEXPRESS'.;
61 User: undefined;1;2019-01-05 12:45:11.2718;DEBUG;;A data reader was disposed.;
62 User: undefined;1;2019-01-05 12:45:11.2943;INFO;;Applying migration '20181126024304_Alekhno1'.;
63 User: undefined;1;2019-01-05 12:45:11.3325;DEBUG;;Opening connection to database 'ListOfScoolStaff' on server 'DESKTOP-HUHSDIT\SQLEXPRESS'.;
64 User: undefined;1;2019-01-05 12:45:11.3325;DEBUG;;Opened connection to database 'ListOfScoolStaff' on server 'DESKTOP-HUHSDIT\SQLEXPRESS'.;
65 User: undefined;1;2019-01-05 12:45:11.3325;DEBUG;;Beginning transaction with isolation level 'ReadCommitted'.;
66 User: undefined;1;2019-01-05 12:45:11.3325;DEBUG;;"Executing DbCommand [Parameters=[], CommandType='Text', CommandTimeout='30']
CREATE TABLE [Professions] (
    [Id] int NOT NULL IDENTITY,
    [NameProfession] nvarchar(450) NOT NULL,
    [CountPeopleProfession] int NULL,
    CONSTRAINT [PK_Professions] PRIMARY KEY ([Id]),
    CONSTRAINT [AK_Professions_NameProfession] UNIQUE ([NameProfession])
);";
67 User: undefined;1;2019-01-05 12:45:11.3325;INFO;;"Executed DbCommand (6ms) [Parameters=[], CommandType='Text', CommandTimeout='30']
CREATE TABLE [Professions] (
    [Id] int NOT NULL IDENTITY,
    [NameProfession] nvarchar(450) NOT NULL,
    [CountPeopleProfession] int NULL,
    CONSTRAINT [PK_Professions] PRIMARY KEY ([Id]),
    CONSTRAINT [AK_Professions_NameProfession] UNIQUE ([NameProfession])
);";
68 User: undefined;1;2019-01-05 12:45:11.3325;DEBUG;;"Executing DbCommand [Parameters=[], CommandType='Text', CommandTimeout='30']
CREATE TABLE [SchoolStaffs] (
    [Id] int NOT NULL IDENTITY,
    [Name] nvarchar(20) NOT NULL,
    [Patronymic] nvarchar(25) NOT NULL,
    [Surname] nvarchar(30) NOT NULL,
    [DateOfBirth] datetime2 NOT NULL,
    [Email] nvarchar(max) NOT NULL,
    CONSTRAINT [PK_SchoolStaffs] PRIMARY KEY ([Id])
);";
69 User: undefined;1;2019-01-05 12:45:11.3512;INFO;;"Executed DbCommand (5ms) [Parameters=[], CommandType='Text', CommandTimeout='30']
CREATE TABLE [SchoolStaffs] (
    [Id] int NOT NULL IDENTITY,
    [Name] nvarchar(20) NOT NULL,
    [Patronymic] nvarchar(25) NOT NULL,
    [Surname] nvarchar(30) NOT NULL,
    [DateOfBirth] datetime2 NOT NULL,
    [Email] nvarchar(max) NOT NULL,
    CONSTRAINT [PK_SchoolStaffs] PRIMARY KEY ([Id])
);";
70 User: undefined;1;2019-01-05 12:45:11.3512;DEBUG;;"Executing DbCommand [Parameters=[], CommandType='Text', CommandTimeout='30']
CREATE TABLE [Subjects] (
    [Id] int NOT NULL IDENTITY,
    [Name] nvarchar(30) NOT NULL,
    CONSTRAINT [PK_Subjects] PRIMARY KEY ([Id]),
    CONSTRAINT [AK_Subjects_Name] UNIQUE ([Name])
);";
71 User: undefined;1;2019-01-05 12:45:11.3512;INFO;;"Executed DbCommand (4ms) [Parameters=[], CommandType='Text', CommandTimeout='30']
CREATE TABLE [Subjects] (
    [Id] int NOT NULL IDENTITY,
    [Name] nvarchar(30) NOT NULL,
    CONSTRAINT [PK_Subjects] PRIMARY KEY ([Id]),
    CONSTRAINT [AK_Subjects_Name] UNIQUE ([Name])
);";
72 User: undefined;1;2019-01-05 12:45:11.3512;DEBUG;;"Executing DbCommand [Parameters=[], CommandType='Text', CommandTimeout='30']
CREATE TABLE [SchoolStaffPhones] (
    [Id] int NOT NULL IDENTITY,
    [Phone] nvarchar(15) NULL,
    [SchoolStaffId] int NULL,
    CONSTRAINT [PK_SchoolStaffPhones] PRIMARY KEY ([Id]),
    CONSTRAINT [FK_SchoolStaffPhones_SchoolStaffs_SchoolStaffId] FOREIGN KEY ([SchoolStaffId]) REFERENCES [SchoolStaffs] ([Id]) ON DELETE CASCADE
);";
73 User: undefined;1;2019-01-05 12:45:11.3629;INFO;;"Executed DbCommand (4ms) [Parameters=[], CommandType='Text', CommandTimeout='30']
CREATE TABLE [SchoolStaffPhones] (
    [Id] int NOT NULL IDENTITY,
    [Phone] nvarchar(15) NULL,
    [SchoolStaffId] int NULL,
    CONSTRAINT [PK_SchoolStaffPhones] PRIMARY KEY ([Id]),
    CONSTRAINT [FK_SchoolStaffPhones_SchoolStaffs_SchoolStaffId] FOREIGN KEY ([SchoolStaffId]) REFERENCES [SchoolStaffs] ([Id]) ON DELETE CASCADE
);";
74 User: undefined;1;2019-01-05 12:45:11.3629;DEBUG;;"Executing DbCommand [Parameters=[], CommandType='Text', CommandTimeout='30']
CREATE TABLE [SchoolStaffProfessions] (
    [Id] int NOT NULL IDENTITY,
    [SchoolStaffId] int NOT NULL,
    [ProfessionId] int NOT NULL,
    CONSTRAINT [PK_SchoolStaffProfessions] PRIMARY KEY ([Id]),
    CONSTRAINT [AK_SchoolStaffProfessions_SchoolStaffId_ProfessionId] UNIQUE ([SchoolStaffId], [ProfessionId]),
    CONSTRAINT [FK_SchoolStaffProfessions_Professions_ProfessionId] FOREIGN KEY ([ProfessionId]) REFERENCES [Professions] ([Id]) ON DELETE CASCADE,
    CONSTRAINT [FK_SchoolStaffProfessions_SchoolStaffs_SchoolStaffId] FOREIGN KEY ([SchoolStaffId]) REFERENCES [SchoolStaffs] ([Id]) ON DELETE CASCADE
);";
75 User: undefined;1;2019-01-05 12:45:11.3629;INFO;;"Executed DbCommand (4ms) [Parameters=[], CommandType='Text', CommandTimeout='30']
CREATE TABLE [SchoolStaffProfessions] (
    [Id] int NOT NULL IDENTITY,
    [SchoolStaffId] int NOT NULL,
    [ProfessionId] int NOT NULL,
    CONSTRAINT [PK_SchoolStaffProfessions] PRIMARY KEY ([Id]),
    CONSTRAINT [AK_SchoolStaffProfessions_SchoolStaffId_ProfessionId] UNIQUE ([SchoolStaffId], [ProfessionId]),
    CONSTRAINT [FK_SchoolStaffProfessions_Professions_ProfessionId] FOREIGN KEY ([ProfessionId]) REFERENCES [Professions] ([Id]) ON DELETE CASCADE,
    CONSTRAINT [FK_SchoolStaffProfessions_SchoolStaffs_SchoolStaffId] FOREIGN KEY ([SchoolStaffId]) REFERENCES [SchoolStaffs] ([Id]) ON DELETE CASCADE
);";
76 User: undefined;1;2019-01-05 12:45:11.3629;DEBUG;;"Executing DbCommand [Parameters=[], CommandType='Text', CommandTimeout='30']
CREATE TABLE [SchoolStaffSubjects] (
    [Id] int NOT NULL IDENTITY,
    [SchoolStaffId] int NOT NULL,
    [SubjectId] int NOT NULL,
    CONSTRAINT [PK_SchoolStaffSubjects] PRIMARY KEY ([Id]),
    CONSTRAINT [AK_SchoolStaffSubjects_SchoolStaffId_SubjectId] UNIQUE ([SchoolStaffId], [SubjectId]),
    CONSTRAINT [FK_SchoolStaffSubjects_SchoolStaffs_SchoolStaffId] FOREIGN KEY ([SchoolStaffId]) REFERENCES [SchoolStaffs] ([Id]) ON DELETE CASCADE,
    CONSTRAINT [FK_SchoolStaffSubjects_Subjects_SubjectId] FOREIGN KEY ([SubjectId]) REFERENCES [Subjects] ([Id]) ON DELETE CASCADE
);";
77 User: undefined;1;2019-01-05 12:45:11.3629;INFO;;"Executed DbCommand (6ms) [Parameters=[], CommandType='Text', CommandTimeout='30']
CREATE TABLE [SchoolStaffSubjects] (
    [Id] int NOT NULL IDENTITY,
    [SchoolStaffId] int NOT NULL,
    [SubjectId] int NOT NULL,
    CONSTRAINT [PK_SchoolStaffSubjects] PRIMARY KEY ([Id]),
    CONSTRAINT [AK_SchoolStaffSubjects_SchoolStaffId_SubjectId] UNIQUE ([SchoolStaffId], [SubjectId]),
    CONSTRAINT [FK_SchoolStaffSubjects_SchoolStaffs_SchoolStaffId] FOREIGN KEY ([SchoolStaffId]) REFERENCES [SchoolStaffs] ([Id]) ON DELETE CASCADE,
    CONSTRAINT [FK_SchoolStaffSubjects_Subjects_SubjectId] FOREIGN KEY ([SubjectId]) REFERENCES [Subjects] ([Id]) ON DELETE CASCADE
);";
78 User: undefined;1;2019-01-05 12:45:11.3629;DEBUG;;"Executing DbCommand [Parameters=[], CommandType='Text', CommandTimeout='30']
CREATE INDEX [IX_SchoolStaffPhones_SchoolStaffId] ON [SchoolStaffPhones] ([SchoolStaffId]);";
79 User: undefined;1;2019-01-05 12:45:11.3798;INFO;;"Executed DbCommand (2ms) [Parameters=[], CommandType='Text', CommandTimeout='30']
CREATE INDEX [IX_SchoolStaffPhones_SchoolStaffId] ON [SchoolStaffPhones] ([SchoolStaffId]);";
80 User: undefined;1;2019-01-05 12:45:11.3798;DEBUG;;"Executing DbCommand [Parameters=[], CommandType='Text', CommandTimeout='30']
CREATE INDEX [IX_SchoolStaffProfessions_ProfessionId] ON [SchoolStaffProfessions] ([ProfessionId]);";
81 User: undefined;1;2019-01-05 12:45:11.3798;INFO;;"Executed DbCommand (2ms) [Parameters=[], CommandType='Text', CommandTimeout='30']
CREATE INDEX [IX_SchoolStaffProfessions_ProfessionId] ON [SchoolStaffProfessions] ([ProfessionId]);";
82 User: undefined;1;2019-01-05 12:45:11.3798;DEBUG;;"Executing DbCommand [Parameters=[], CommandType='Text', CommandTimeout='30']
CREATE INDEX [IX_SchoolStaffSubjects_SubjectId] ON [SchoolStaffSubjects] ([SubjectId]);";
83 User: undefined;1;2019-01-05 12:45:11.3798;INFO;;"Executed DbCommand (2ms) [Parameters=[], CommandType='Text', CommandTimeout='30']
CREATE INDEX [IX_SchoolStaffSubjects_SubjectId] ON [SchoolStaffSubjects] ([SubjectId]);";
84 User: undefined;1;2019-01-05 12:45:11.3798;DEBUG;;"Executing DbCommand [Parameters=[], CommandType='Text', CommandTimeout='30']
INSERT INTO [__EFMigrationsHistory] ([MigrationId], [ProductVersion])
VALUES (N'20181126024304_Alekhno1', N'2.1.4-rtm-31024');";
85 User: undefined;1;2019-01-05 12:45:11.3798;INFO;;"Executed DbCommand (3ms) [Parameters=[], CommandType='Text', CommandTimeout='30']
INSERT INTO [__EFMigrationsHistory] ([MigrationId], [ProductVersion])
VALUES (N'20181126024304_Alekhno1', N'2.1.4-rtm-31024');";
86 User: undefined;1;2019-01-05 12:45:11.3798;DEBUG;;Committing transaction.;
87 User: undefined;1;2019-01-05 12:45:11.3943;DEBUG;;Disposing transaction.;
88 User: undefined;1;2019-01-05 12:45:11.3943;DEBUG;;Closing connection to database 'ListOfScoolStaff' on server 'DESKTOP-HUHSDIT\SQLEXPRESS'.;
89 User: undefined;1;2019-01-05 12:45:11.3943;DEBUG;;Closed connection to database 'ListOfScoolStaff' on server 'DESKTOP-HUHSDIT\SQLEXPRESS'.;
90 User: undefined;1;2019-01-05 12:45:11.3943;INFO;;Applying migration '20181128102408_Alekhno2'.;
91 User: undefined;1;2019-01-05 12:45:11.4110;DEBUG;;Opening connection to database 'ListOfScoolStaff' on server 'DESKTOP-HUHSDIT\SQLEXPRESS'.;
92 User: undefined;1;2019-01-05 12:45:11.4110;DEBUG;;Opened connection to database 'ListOfScoolStaff' on server 'DESKTOP-HUHSDIT\SQLEXPRESS'.;
93 User: undefined;1;2019-01-05 12:45:11.4110;DEBUG;;Beginning transaction with isolation level 'ReadCommitted'.;
