Index;ThreadID;Time;Severity;Location;Detail;Exception
1;1;2018-12-22 06:48:29.3167;DEBUG;(Program.cs:22);init main;
2;16;2018-12-22 06:49:04.2695;INFO;(ConcreteMessageSMS.cs:18);Sending SMS to employee Sergey Ivanovich Ivanovich, address: +375-29-1708055, Text: eutyu65u;
3;8;2018-12-22 07:03:59.2313;INFO;(ConcreteMessageSMS.cs:18);Sending SMS to employee Sergey Ivanovich Ivanovich, address: +375-29-1708055, Text: eutyu65u;
4;7;2018-12-22 07:08:35.4167;INFO;(ConcreteMessageEmail.cs:51);Sending email to employee Anna Ivanovna Ivanovna, address: 1234567@tut.by, Text: wryt;
1;1;2018-12-22 07:14:18.6691;DEBUG;(Program.cs:22);init main;
2;7;2018-12-22 07:14:38.7490;INFO;(ConcreteMessageSMS.cs:18);Sending SMS to employee Sergey Ivanovich Ivanovich, address: +375-29-1708055, Text: eutyu65u;
1;1;2018-12-22 07:18:02.0616;DEBUG;(Program.cs:22);init main;
1;1;2018-12-22 07:18:51.6278;DEBUG;(Program.cs:22);init main;
2;17;2018-12-22 07:19:05.4381;INFO;(ConcreteMessageSMS.cs:18);Sending SMS to employee Sergey Ivanovich Ivanovich, address: +375-29-1708055, Text: eutyu65u;
1;1;2018-12-22 07:49:28.5128;DEBUG;(Program.cs:22);init main;
2;7;2018-12-22 07:49:42.3882;INFO;(ConcreteMessageSMS.cs:18);Sending SMS to employee Sergey Ivanovich Ivanovich, address: +375-29-1708055, Text: eutyu65u;
1;1;2018-12-22 08:00:06.0719;DEBUG;(Program.cs:22);init main;
2;7;2018-12-22 08:00:20.8507;INFO;(ConcreteMessageSMS.cs:18);Sending SMS to employee Sergey Ivanovich Ivanovich, address: +375-29-1708055, Text: eutyu65u;
3;7;2018-12-22 08:00:56.6561;INFO;(ConcreteMessageSMS.cs:18);Sending SMS to employee Sergey Ivanovich Ivanovich, address: +375-29-1708055, Text: eutyu65u;
